Question,Q_Annotation,A_Annotation,Final_A_Annotation
هل يحرق الإنسولين الدهون أم يمنع ذلك  وما آلية عمله ,0,الإجابة بتصرف من أحد فيديوهات الدكتور كريم علي صاحب قناة فكر تاني على اليوتوبعند أكل السكريات يرتفع الأنسولين في الجسم لحرق السكر فقط ولكن في نفس الوقت يقوم بفتح الخلايا الدهنة في الجسم لتخزين الدهون لوقت آخرومع أكل السكر الدائم وأدمانه تبقى الخلايا الدهنة في الجسم مفتوحة وتقوب بالتخزين يوميا بالتوازي مع حرق السكرالدكتور كريم علي يعتبر السكر الأبيض من السمومبعد مشاهدة فيديوهات الدكتور كريم على توقفت نهائيا عن أكل السكريات منذ شهر فيفري الماضي اذا أردت شيء حلو أأكل الفاكهة   بدون رجيم أو أي نوع من النضام الغذائي وزني في نزول مستمر للعلم أني من هواة المشيء الطويل لمدة ساعة الى ساعتينالوزن في شهرالإجابة بتصرف من أحد فيديوهات الدكتور كريم علي صاحب قناة فكر تاني على اليوتوبعند أكل السكريات يرتفع الأنسولين في الجسم لحرق السكر فقط ولكن في نفس الوقت يقوم بفتح الخلايا الدهنة في الجسم لتخزين الدهون لوقت آخرومع أكل السكر الدائم وأدمانه تبقى الخلايا الدهنة في الجسم مفتوحة وتقوب بالتخزين يوميا بالتوازي مع حرق السكرالدكتور كريم علي يعتبر السكر الأبيض من السمومبعد مشاهدة فيديوهات الدكتور كريم على توقفت نهائيا عن أكل السكريات منذ شهر فيفري الماضي اذا أردت شيء حلو أأكل الفاكهة   بدون رجيم أو أي نوع من النضام الغذائي وزني في نزول مستمر للعلم أني من هواة المشيء الطويل لمدة ساعة الى ساعتينالوزن في شهر فيقري كان 95 كلغ الأن مع الصيام وصلت ل 85 كلغ بدون فغل شيء فقط المشي والتوقف عن السكريات,0
هل يوجد تسمية علمية لحالة مرضية لشخص لديه ذاكرة ضعيفة منذ الصغر وعدم تركيز ولا ينظر إلى وجه المتكلم  وهل يوجد علاج ,0,من الضروري مراجعة طبيب اختصاص و يفضل ان يكون اختصاص امراض عصبية او نفسية حتى يتمكن من تقييم الحالة بصورة مفصلة و التوصل الى تشخيص دقيقمن التشخيصات الممكنة لهذه الحالة   بناءا على المعلومات القليلة المذكورة   هي  ١  نقص معدل الذكاء IQ إذ يبلغ متوسط معدل الذكاء 100 مع تسجيل غالبية الأشخاص ما بين 85 و 115  ويعتبر الشخص معاقا  فكريا  إذا كان معدل ذكائه أقل من 70 إلى 75 ٢  اضطراب طيف التوحد autistic spectrum disorderو الذي يحتوي على مجموعة كبيرة من الأعراض ومستويات الشدة و هي عبارة عن حالة ترتبط بنمو الدماغ وتؤثر على كيفية التعامل الشخص مع الاخرين   و غالبا يتم تشخيص هذه الحالة من الصغر و تستمر مع الشخص  ٣  عجز التعلم او ضعف التعلم و تضم عدد من اضطرابات التعلم learning disability٤  حالة بسيطة من التلف الدماغي يصيب الاطفال لعدد من الاسباب منها عسر الولادة فيقل الاوكسيجين الى دماغ الجنين او ارتفاع نسبة ابو صفار   اليرقان   في الايام الاولى من حياة الطفل او الاتهاب السحايا او التهاب خلايا الدماغ و غيرها حيث ممكن ان تظهر التاثيرات السلبية بعد سنوات من الاصابة  ,0
ما رأيك في التعديلات الجديدة على قوانين كرة القدم واستخدام التكنولوجيا في احتساب التسلل وطريقة احتساب الوقت بدل الضائع في مباريات كأس العالم 2022 بقطر ,1,اى شيئ يتم تطبيقة لتحقيق العدل أنا مؤيد له وبشدة   وضد مقولة   الأخطاء متعة من متع كرة القدم   هذه المقولة من أطلقها لا يحب العدل و من يرددها لن يقبل العدل و الأنصاف  ,1
مرحبا هل من متجر على الأنترنت يبيع ملصقات خاصة بلاعبين كرة القدم   لقد اشتريت ملصق رائع للاعب ميسي لكن مشكلة هذا المتجر انه لا يوفر جميع اللاعبين   هذا هو       ,0,هناك عدة متاجر إلكترونية تبيع الملصقات الخاصة باللاعبين ما عليك سوى أن تقوم بطلب وهم يرسلون لكموقع علي إيكسبريسموقع علي بابا,0
من هم اللاعبين الذين تفضلهم فى التاريخ  ,1,ميسي  فرانك لامبارد,1
بعد فوز منتخب السعودية على منتخب الأرجنتين والأداء القتالي والروح العالية التي أظهرها صقور الأخضر السعودي  هل تتوقع أن تصل السعودية إلى أبعد من الدور الأول في مونديال قطر 2022 ,1,من الممكن,1
ماذا تتوقع نتيجة مباراة الأهلي المصري وبايرن ميونيخ الألماني في نصف نهائي كأس العالم للأندية ,1,أتوقع فوز البايرن بنتيجة 2 1    والأهلي سيؤدي مباراه ممتازة ومشرفة,1
هل تجوز ممارسة يوغا الاسترخاء  ,0,وز ممارسة يوغا الاسترخاء  يمكنك ممارسة يوغا الاسترخاء للحصول على الاسترخاء الكامل للجسم  والتحقق من أن جسمك يشعر براحة ويسترخي  يوغا الاسترخاء يعتبر أحد التقنيات الأساسية للتخلص من الإجهاد والإضطرابات النفسية  والحصول على نوع من الاسترخاء الذي يؤدي إلى تحسين الحياة والصحة النفسية ومشاكل النوم ,0
عمري 19 سنة  هل فاتني الوقت على كرة القدم ,1,حسنا  إذا كنت لذيك موهبة وعندك قدرة بذنية للعب لابأس نصيحتي أنا 26سنة فاتني الوقت بس أكثر شيء ندمت عليه إنني مادخلت عالم كرة القدم الإحتراف و الشهرة حكاية متعة يعيشها اللاعبين كل شئ فيها ممتع أجوائها الجو مع اللاعيبة و مدربين و النادي أجواء جميلة جدا ,1
ماهي شروط الفيفا لتغيير منتخب اللاعب ,0,الشرط الاولاني يمثل البلد ما يكونش لعب لاي منتخب اول في اي بلد الشرط الثاني كن عايش من البلد تكون عايش في البلد من ثلاث سنوات الى خمس سنوات والافضل يكون مثل الناشئين فيها يصبح يلعب المنتخب الاول ما كنتش مثل اي منتخب اول ثاني ما اظن دي شروط الفيفا,0
هل كان من المجدي إقامة أولمبياد طوكيو بعد تأجيلها عن موعدها الاصلي لمدة عام    خصوصا مع عدم السيطرة علي وباء الكورونا في العالم بالكامل   ,1,نعم بالتاكيد لأن تأخيرها أكثر من ذلك سيؤثر بالسلب على الرياضه,1
هل يمكنني إنقاص الوزن بالمشي 45 دقيقة في اليوم  أقصد المشي السريع مع تغذية متوازنة ,0, 30 دقيقة كافية على الساعة 12H00 ظهرايستوجب عليك فعل مايلي01 تبكير وجبة العشاء ولاتنم إلا بعد ساعتين02 أترك عنك وجبة الفطور قد تسمع كثيرا أن الفطور صحي وبلسان بعض الاطباء لكن هذه المعلومة خاطئة مادام الفطور فيه الكثير من السكريات والخبز  لكن مادام الأمر يتعلق بإنقاص الوزن فإزالة الفطور شيء إجباري03 الصيام المتقطع لمدة 16 ساعة مع شرب الماء في أي وقت أمكن انطلاقا من وجبة عشاء أمس إلى وجبة غذاء اليوم04 إبتعد تماما عن السكروز أي سكر المائدة أي السكر المصنع أو إن شئت سميه السم القاتل فهو سبب كل المشاكل الصحية ولانقصد بذالك السكر النباتي الذي خلقه الله فيما انبته من الأرض فما خلق الرحمن ينفع البشر وماصنعه الإنسان بيده يضر البشر وتذكر دائما قول ربك سبحانه 05 أترك عنك الوجبة الزوالية واكتفي بوجبتين غنيتين بالبروتينات و بمايلزمك من السعرات الحرارية في اليوم  06 أترك عنك الأكل العاطفي والأكل بدون وقت07 لاتكثر من أكل الخبز خذ ربع أو أقل من قرص الخبز يكفيك مع كل وجبة وإن كان لابد منه فاشويه في النار  إذا كنت موظف وتستغرق وقتا طويلا في العمل وتخاف ع نفسك من الجوع يمكنني ان أزودك ببرنامج فيل غريت في رابط أسفله مع فيديوهات شرح و الذي سيساعدك حتما على الصيام المتقطع وتزويدك بالطاقة اللازمة ويشعرك بالشبع وتحقيق هدفك من دون الإحساس بالجوع  إنها مكملات بيو من شركة يونيسيتي الأمريكية أي لاتحتوي على مواد كيماوية مصنعة ولديها فروع في معظم الدول العربية ومنهم المغرب والجزائر وعمان والبحرين والسعودية ومصر وغيرهم وقد جاءت بعلم جينومسوتيكلز وهو علم تشبيب وتصغير الخلية  كل منتجات يونيسيتي مرفوقة على موسوعة ال PDR للمنتجات البيو  لاقتناء برنامج feelgreat من مركز يونيسيتي مباشرة إضغط الرابط أسفلهhttps   unicity link 972af01d2cشهادات عربية غلى هذا الفيديو,1
